5,2,1,2
17,3,1,2
33,3,1,3
48,2,1,3
60,2,3,3
68,1,3,1
82,1,2,3
89,2,1,3
97,1,3,3
118,3,2,2
134,1,2,3
146,3,1,2
166,1,3,3
180,3,2,1
207,1,3,3
227,2,1,1
235,3,1,3
251,2,1,2
259,3,1,1
273,3,2,3
280,1,2,2
288,1,2,3
298,2,1,3
309,1,3,2
326,1,3,3
339,3,1,3
354,3,2,2
362,3,1,1
377,1,2,2
385,3,2,1
392,3,2,3
401,1,3,2
416,2,3,2
423,3,1,2
437,1,3,3
458,2,1,1
468,2,3,3
475,1,3,1
491,3,1,3
508,3,2,1
521,3,2,2
529,2,3,3
536,1,3,1
553,2,3,1
560,1,3,3
576,2,3,2
583,3,1,1
605,2,3,2
612,2,3,1
620,1,2,1
632,2,3,1
642,1,3,3
664,3,2,1
677,3,1,1
695,1,3,2
714,2,3,2
720,3,2,2
731,3,2,1
738,3,1,2
752,1,2,3
760,2,3,2
773,1,2,1
788,1,2,3
805,1,2,1
812,3,2,2
825,3,1,2
839,2,3,2
846,1,2,2
853,2,1,2
867,2,3,3
874,1,3,2
888,3,1,3
902,2,1,3
911,1,2,2
922,3,2,1
930,2,3,1
939,1,3,1
958,3,1,3
974,2,3,1
991,2,1,3
1001,1,3,3
1016,3,2,3
1023,3,2,1
1032,2,3,2
1041,1,2,2
1049,3,1,3
1063,1,2,1
1073,3,2,2
1082,3,1,3
1099,3,2,3
1108,1,2,2
1115,2,3,3
1123,3,2,2
1131,3,1,3
1147,1,3,2
1165,1,3,1
1183,1,2,3
1190,3,2,1
1197,2,1,3
1209,1,2,3
1221,1,3,2
1240,2,3,3
1247,3,2,1
1254,2,3,2
1260,3,1,1
1276,2,3,3
1282,3,1,1
1296,3,1,3
1310,3,2,1
1322,1,3,2
1336,3,1,1
1350,2,3,2
1357,1,2,3
1366,1,3,3
1380,3,2,3
1387,2,3,3
1399,1,2,3
1406,2,3,1
1416,2,3,1
1423,3,1,3
1443,1,2,1
1454,1,2,1
1462,3,2,3
1469,3,1,1
1489,1,2,2
1497,2,3,1
1507,2,1,1
1516,1,3,2
1532,1,2,2
1546,2,3,2
1556,1,2,2
1573,2,3,3
1588,1,2,2
1598,3,2,3
1605,3,1,3
1620,1,2,2
1630,3,1,3
1644,3,2,3
1660,1,2,1
1667,3,2,3
1678,3,1,3
1694,1,3,2
1707,3,1,3
1723,2,1,3
1731,3,2,2
1739,2,1,1
1753,2,1,1
